fecha,ChatGPT,Midjourney,GitHub Copilot,Gemini,Perplexity,Claude,DALL-E,Code Llama,Llama,Kimi,Grok,Stable Diffusion,Tabnine,Mistral AI,You.com,Microsoft Copilot,Runway Gen-2,AlphaCode,Sora,DeepMind
2021-12-26,0,0,0,0,0,1,0,0,35,1,0,0,0,0,0,0,0,0,6,0
2022-01-02,0,0,0,0,0,1,0,0,43,1,1,0,0,0,0,0,0,0,6,0
2022-01-09,0,0,0,0,0,1,0,0,43,1,0,0,0,0,1,0,0,0,6,0
2022-01-16,0,0,0,0,0,1,0,0,42,1,0,0,0,0,0,0,0,0,6,0
2022-01-23,0,0,0,0,0,1,0,0,46,1,0,0,0,0,0,0,0,0,5,0
2022-01-30,0,0,0,0,0,1,0,0,41,0,0,0,0,0,0,0,0,0,5,1
2022-02-06,0,0,0,0,0,1,0,0,45,1,1,0,0,0,0,0,0,0,6,1
2022-02-13,0,0,0,0,0,1,0,0,45,2,0,0,0,0,0,0,0,0,6,0
2022-02-20,0,0,0,0,0,1,0,0,46,1,1,0,0,0,0,0,0,0,5,0
2022-02-27,0,0,0,0,0,1,0,0,45,1,0,0,0,0,0,0,0,0,6,0
2022-03-06,0,0,0,0,0,1,0,0,46,1,0,0,0,0,0,0,0,0,6,0
2022-03-13,0,0,0,0,0,1,0,0,50,1,0,0,0,0,0,0,0,0,5,0
2022-03-20,0,0,0,0,0,1,0,0,47,1,0,0,0,0,0,0,0,0,5,0
2022-03-27,0,0,0,0,0,1,0,0,49,1,0,0,0,0,0,0,0,0,5,0
2022-04-03,0,0,0,0,0,1,0,0,45,1,0,0,0,0,0,0,0,0,6,0
2022-04-10,0,0,0,0,0,1,0,0,50,1,0,0,0,0,0,0,0,0,8,0
2022-04-17,0,0,0,0,0,1,0,0,47,1,0,0,0,0,0,0,0,0,6,0
2022-04-24,0,0,0,0,0,1,0,0,46,1,0,0,0,0,0,0,0,0,5,0
2022-05-01,0,0,0,0,0,1,0,0,44,1,0,0,0,0,0,0,0,0,6,0
2022-05-08,0,0,0,0,0,3,0,0,45,1,0,0,0,0,0,0,0,0,6,1
